iter	Logloss
125	0.1209192021
126	0.1208085944
127	0.120763545
128	0.1206555655
129	0.1205205345
130	0.1204410195
131	0.1203687796
132	0.1202651634
133	0.120174207
134	0.1201055896
135	0.1200118846
136	0.1199344268
137	0.1197851863
138	0.1197089603
139	0.1196287093
140	0.1195561832
141	0.1194202966
142	0.1193609493
143	0.119275097
144	0.1192177551
145	0.1190725458
146	0.1189708336
147	0.1188490576
148	0.118784477
149	0.1186650008
150	0.1185665615
151	0.1185002705
152	0.118402275
153	0.1183276796
154	0.1182407307
155	0.1182029595
156	0.1181056522
157	0.1180205052
158	0.1179730656
159	0.1178992057
160	0.1178356482
161	0.1177295202
162	0.1175750515
163	0.1175305037
164	0.11747256
165	0.1173229004
166	0.1172347531
167	0.1171557518
168	0.1170755899
169	0.1170157697
170	0.1169709606
171	0.1168939165
172	0.1168430436
173	0.1167812559
174	0.116711452
175	0.1166428757
176	0.1165688438
177	0.1165183423
178	0.1164444027
179	0.1163969929
180	0.1163297025
181	0.1162827193
182	0.1161906877
183	0.1161062596
184	0.1160362645
185	0.1159590215
186	0.1158854656
187	0.1158414596
188	0.1157709259
189	0.1157152944
190	0.1156211249
191	0.1155743177
192	0.1155073904
193	0.1154382025
194	0.1153320699
195	0.1152402035
196	0.1151683024
197	0.1151007034
198	0.1149919861
199	0.1149163877
200	0.1148640554
201	0.1148011493
202	0.1147624303
203	0.1147085917
204	0.1146511065
205	0.114543214
206	0.114442853
207	0.1143723675
208	0.114321677
209	0.1142856421
210	0.1142456001
211	0.1141751189
212	0.1141304536
213	0.1140994125
214	0.114034402
215	0.1139384884
216	0.1138780915
217	0.1137885632
218	0.1137315953
219	0.1136770921
220	0.1135698617
221	0.1135067582
222	0.1134417918
223	0.1133434555
224	0.1132848082
225	0.1132429235
226	0.113198356
227	0.1131237598
228	0.1130592622
229	0.1129831429
230	0.1128833193
231	0.1128064156
232	0.1127444115
233	0.1126883189
234	0.1126227545
235	0.1125550338
236	0.1125012821
237	0.1124283394
238	0.1123677067
239	0.1123111901
240	0.112218112
241	0.1121002457
242	0.1120387658
243	0.1119685821
244	0.1119435106
245	0.1118857236
246	0.1118215535
247	0.1117390156
248	0.1116782047
249	0.1116279786
250	0.1115233707
251	0.1114543634
252	0.1114131932
253	0.111283044
254	0.1112158815
255	0.1111423368
256	0.1111004973
257	0.1110374003
258	0.1109955611
259	0.1109443415
260	0.1108835931
261	0.1108139004
262	0.1107577283
263	0.110710871
264	0.1106592814
265	0.1106245114
266	0.110576813
267	0.1105124153
268	0.1104679989
269	0.1103666347
270	0.1102818725
271	0.1102335441
272	0.1101941078
273	0.1101592749
274	0.1101112565
275	0.110065322
276	0.1100041182
277	0.1099384329
278	0.1098834097
279	0.1098048522
280	0.1097684732
281	0.1097153175
282	0.1096656939
283	0.1095673807
284	0.1095116712
285	0.1094849263
286	0.1094295509
287	0.1093944069
288	0.1093443126
289	0.1092809794
290	0.1092483671
291	0.1091936766
292	0.1091513196
293	0.1090865292
294	0.1090356915
295	0.1089939074
296	0.1089431526
297	0.1089003277
298	0.1088555936
299	0.108825786
300	0.1087924894
301	0.1087238621
302	0.108676476
303	0.1086353532
304	0.1085448346
305	0.1084976929
306	0.1084624381
307	0.1084104472
308	0.1083632863
309	0.1083258654
310	0.1082890412
311	0.1082022325
312	0.1081557481
313	0.1081097951
314	0.1080433241
315	0.1079690675
316	0.1079227824
317	0.1078890527
318	0.1078408139
319	0.1078003032
320	0.1077571107
321	0.107675912
322	0.1076244433
323	0.1075745529
324	0.1075377584
325	0.1075112897
326	0.1074544989
327	0.1074057253
328	0.1073590989
329	0.1073204142
330	0.1072590981
331	0.1072139727
332	0.1071771379
333	0.1071375363
334	0.1070811418
335	0.1070513638
336	0.1070135337
337	0.1069747734
338	0.1069155846
339	0.1068633947
340	0.1068239095
341	0.1067651175
342	0.1067222657
343	0.1066651351
344	0.1066340651
345	0.1065660165
346	0.1065322278
347	0.1064717899
348	0.1064298298
349	0.1063907496
350	0.1063475243
351	0.1063119743
352	0.1062614744
353	0.1062232751
354	0.1061590545
355	0.1061233261
356	0.1061048164
357	0.1060324272
358	0.1059758649
359	0.1059429124
360	0.1059131203
361	0.1058632426
362	0.1058413315
363	0.1057952045
364	0.1057596617
365	0.1057069025
366	0.105656159
367	0.1055819214
368	0.1055311447
369	0.1054928703
370	0.1054553991
371	0.1054234958
372	0.1053543647
373	0.1052873377
374	0.1052406919
375	0.1051840962
376	0.1051614943
377	0.1051088371
378	0.1050609951
379	0.1050056699
380	0.104978199
381	0.1049185445
382	0.1048896753
383	0.1048374596
384	0.1047882488
385	0.1047513416
386	0.1047096178
387	0.1046684302
388	0.1046202222
389	0.1045601867
390	0.1045090898
391	0.1044709825
392	0.1044195728
393	0.1043881288
394	0.1043333984
395	0.104294041
396	0.1042610917
397	0.1042214911
398	0.1041847141
399	0.1041517957
400	0.1041094682
401	0.1040750923
402	0.1040356133
403	0.1040125128
404	0.1039868147
405	0.1039531681
406	0.103886788
407	0.1038243961
408	0.1037879826
409	0.1037465605
410	0.1037168851
411	0.1036639148
412	0.1036124593
413	0.103568917
414	0.1035424124
415	0.1035173893
416	0.1034847552
417	0.1034390598
418	0.1033975594
419	0.1033422037
420	0.1032774864
421	0.1032245327
422	0.1031637408
423	0.1031364371
424	0.1030979433
425	0.1030479025
426	0.1029936941
427	0.1029497452
428	0.1029129912
429	0.1028893274
430	0.1028369596
431	0.1028077521
432	0.1027406638
433	0.1026837653
434	0.1026424145
435	0.1026161038
436	0.1025753616
437	0.1025596606
438	0.1025098853
439	0.1024665301
440	0.1024266116
441	0.1023918804
442	0.1023284449
443	0.1022959827
444	0.1022477962
445	0.1022002667
446	0.1021364025
447	0.1020597039
448	0.1020078046
449	0.1019568933
450	0.1019091131
451	0.1018673208
452	0.1018278268
453	0.1017913544
454	0.1017498488
455	0.101701208
456	0.1016580013
457	0.1016211788
458	0.1015822778
459	0.1015439324
460	0.101495554
461	0.1014580962
462	0.1014089703
463	0.1013681755
464	0.1013389046
465	0.1013121391
466	0.1012790213
467	0.1012440466
468	0.1012155794
469	0.1011719369
470	0.1011296349
471	0.1011074809
472	0.1010832205
473	0.1010365733
474	0.1010071542
475	0.1009727765
476	0.1009269226
477	0.100895036
478	0.1008682322
479	0.1008254363
480	0.100774083
481	0.1007274857
482	0.100678901
483	0.1006436662
484	0.1006052159
485	0.1005757189
486	0.1005381946
487	0.1004663688
488	0.1004210777
489	0.1003620122
490	0.1003210096
491	0.1002510121
492	0.1002264806
493	0.1001801686
494	0.1001564426
495	0.1001163948
496	0.100045116
497	0.09998459583
498	0.09994795805
499	0.09991022131
