iter	Logloss
0	0.5814745191
1	0.4987917513
2	0.4425366402
3	0.3897977369
4	0.3500396511
5	0.3166832133
6	0.2802887197
7	0.259443207
8	0.2426976308
9	0.2307617684
10	0.214460729
11	0.206180867
12	0.1989082794
13	0.1916370322
14	0.1874279972
15	0.1835695153
16	0.179009721
17	0.1749393308
18	0.1706347851
19	0.1669066404
20	0.1636908699
21	0.162289864
22	0.1608035393
23	0.1578021524
24	0.1565469643
25	0.154754846
26	0.153392401
27	0.1522870903
28	0.1512675464
29	0.1502341462
30	0.1492188067
31	0.1481479506
32	0.1469429378
33	0.1459163141
34	0.145271687
35	0.1444054448
36	0.1435791752
37	0.1426297365
38	0.1419518695
39	0.141470306
40	0.141023729
41	0.1405853831
42	0.1401742229
43	0.1392977825
44	0.1383671403
45	0.1378999399
46	0.1375182829
47	0.1368862832
48	0.1362646859
49	0.1358382793
50	0.1354596919
51	0.1351344813
52	0.134875241
53	0.1345002708
54	0.1341891652
55	0.1338773975
56	0.1334832762
57	0.1330723615
58	0.1326582737
59	0.1323891942
60	0.1320454432
61	0.1317579064
62	0.1313178134
63	0.1309511239
64	0.1306890148
65	0.1304513361
66	0.1301886084
67	0.1298220118
68	0.1296435677
69	0.1293763722
70	0.1291622108
71	0.1289946261
72	0.1288648671
73	0.1286776656
74	0.1284284005
75	0.128286213
76	0.128079991
77	0.1279284357
78	0.1277390759
79	0.1275907411
80	0.127486591
81	0.1272607336
82	0.1270802074
83	0.1269097043
84	0.1267410967
85	0.1265051513
86	0.1263370861
87	0.1261959975
88	0.1260464198
89	0.1259079058
90	0.1256475135
91	0.1254401917
92	0.1252263929
93	0.1250946198
94	0.1249377254
95	0.1247764305
96	0.1246597997
97	0.124531197
98	0.1243281615
99	0.1242149082
100	0.1239809064
101	0.1238594462
102	0.123637921
103	0.1235400569
104	0.123411833
105	0.1232634947
106	0.123152618
107	0.1229883403
108	0.1228842797
109	0.1226899899
110	0.1225560276
111	0.1223867401
112	0.122236864
113	0.1220965589
114	0.1219934257
115	0.1219396494
116	0.1218474028
117	0.1217601569
118	0.1216853718
119	0.1216075149
120	0.1214181607
121	0.1212638673
122	0.1211546079
123	0.1210771346
124	0.1209657409
