iter	Passed	Remaining
404	8119	1904
405	8140	1884
406	8160	1864
407	8181	1844
408	8202	1824
409	8221	1804
410	8242	1784
411	8261	1764
412	8282	1744
413	8303	1724
414	8324	1704
415	8345	1685
416	8368	1665
417	8389	1645
418	8410	1625
419	8432	1606
420	8455	1586
421	8477	1566
422	8499	1547
423	8520	1527
424	8541	1507
425	8562	1487
426	8582	1467
427	8603	1447
428	8623	1427
429	8644	1407
430	8665	1387
431	8687	1367
432	8710	1347
433	8731	1327
434	8752	1307
435	8774	1287
436	8794	1267
437	8813	1247
438	8834	1227
439	8855	1207
440	8875	1187
441	8897	1167
442	8917	1147
443	8937	1127
444	8959	1107
445	8979	1087
446	9001	1067
447	9024	1047
448	9046	1027
449	9067	1007
450	9089	987
451	9109	967
452	9131	947
453	9152	927
454	9172	907
455	9193	887
456	9215	867
457	9236	846
458	9257	826
459	9278	806
460	9299	786
461	9321	766
462	9343	746
463	9364	726
464	9384	706
465	9404	686
466	9424	665
467	9444	645
468	9464	625
469	9484	605
470	9505	585
471	9526	565
472	9547	544
473	9573	525
474	9595	505
475	9617	484
476	9639	464
477	9659	444
478	9679	424
479	9701	404
480	9724	384
481	9746	363
482	9768	343
483	9790	323
484	9812	303
485	9833	283
486	9855	263
487	9878	242
488	9900	222
489	9922	202
490	9943	182
491	9963	162
492	9984	141
493	10006	121
494	10027	101
495	10049	81
496	10072	60
497	10093	40
498	10114	20
499	10135	0
