Class,Top Contributor,SHAP Value,LightGBM,XGBoost,CatBoost,RandomForest,OriginalFeatures
Normal,LightGBM,2.3324,2.3324,2.2675,0.4899,0.6309,1.3158
Attack,LightGBM,2.9162,2.9162,2.8152,0.3633,0.7355,1.221
