batch,accuracy,phase,drift_point
198,0.94,pre_drift,False
199,0.97,pre_drift,False
200,0.9,drifting,False
201,0.92,drifting,False
202,0.94,drifting,False
203,0.935,drifting,False
204,0.92,drifting,False
205,0.935,drifting,False
206,0.88,drifting,False
207,0.955,drifting,False
208,0.9,drifting,False
209,0.97,drifting,False
210,0.95,drifting,False
211,0.89,drifting,False
212,0.95,drifting,False
213,0.96,drifting,False
214,0.96,drifting,False
215,0.925,drifting,False
216,0.955,drifting,False
217,0.935,drifting,False
218,0.965,drifting,False
219,0.97,drifting,False
220,0.915,drifting,False
221,0.935,drifting,False
222,0.915,drifting,False
223,0.94,drifting,False
224,0.96,drifting,False
225,0.95,drifting,False
226,0.775,drifting,False
227,0.935,drifting,False
228,0.92,drifting,False
229,0.965,drifting,False
230,0.92,drifting,False
231,0.95,drifting,False
232,0.94,drifting,False
233,0.925,drifting,False
234,0.72,drifting,False
235,0.95,drifting,False
236,0.815,drifting,False
237,0.925,drifting,False
238,0.92,drifting,False
239,0.975,drifting,False
240,0.955,drifting,False
241,0.92,drifting,False
242,0.935,drifting,False
243,0.94,drifting,False
244,0.945,drifting,False
245,0.97,drifting,False
246,0.935,drifting,False
247,0.92,drifting,False
248,0.84,drifting,False
249,0.925,drifting,False
250,0.805,drifting,False
251,0.93,drifting,False
252,0.9,drifting,False
253,0.95,drifting,False
254,0.935,drifting,False
255,0.935,drifting,False
256,0.945,drifting,False
257,0.955,drifting,False
258,0.925,drifting,False
259,0.94,drifting,False
260,0.905,drifting,False
261,0.945,drifting,False
262,0.865,drifting,False
263,0.94,drifting,False
264,0.94,drifting,False
265,0.97,drifting,False
266,0.88,drifting,False
267,0.935,drifting,False
268,0.945,drifting,False
269,0.93,drifting,False
270,0.95,drifting,False
271,0.78,drifting,False
272,0.91,drifting,False
273,0.915,drifting,False
274,0.925,drifting,False
275,0.91,drifting,False
276,0.74,drifting,False
277,0.945,drifting,False
278,0.915,drifting,False
279,0.905,drifting,False
280,0.95,drifting,False
281,0.935,drifting,False
282,0.81,drifting,False
283,0.935,drifting,False
284,0.93,drifting,False
285,0.76,drifting,False
286,0.925,drifting,False
287,0.925,drifting,False
288,0.95,drifting,False
289,0.94,drifting,False
290,0.935,drifting,False
291,0.905,drifting,False
292,0.95,drifting,False
293,0.82,drifting,False
294,0.885,drifting,False
